Customeraccount;ax;Archived;KeyAccountCode;DeliveryAddress;DeliveryAddress2;KeyAccount;Name;Search name;ZIPCODE;CITY;COUNTRYREGIONID;STREET;Telephone;Extension;CURRENCY;Customer group;Invoice account;Created date and time;Created by;VAT number;Country region;AccessRights;GroupID
00027_4587;Yes;;;00028;00028;No;Huvepharma EOOD;Huvepharma EOOD;4587;Kloosterzande;NLD;Oudeweg 16;+359 2 862 5331;;EUR;009;;2011-06-24 14:16:50;?;BG130128520;NLD;NLD;55,69
00028;Yes;;00027;;;No;China National Township Enterprises Corp.;China National Towns;100026;Beijing, Chaoyang district;CHN;8/F Jingchao Building, No. 5Nongzhan Southern Road;;;EUR;003;00027;2011-06-24 14:16:50;?;;CHN;CHN;182,69
00029;Yes;;;;;Yes;Huvepharma Taiwan;Huvepharma Taiw B+ S;231;XinDian City - Taipei County;TWN;3F-2, No 10, BeiXin Road Section 1;;;USD;009;;2011-06-24 14:16:50;?;;TWN;TWN;216,69
00030;Yes;;;00031;00031;Yes;Huvepharma Inc;Huvepharma Inc B;GA 30269;Peachtree City;USA;500 Westpark Drive, Suite 230;;;USD;009;;2011-06-24 14:16:50;?;;USA;USA;219,69
00031;Yes;;00030;;;No;Huvepharma Inc;Huvepharma US S;MO 63116;St. Louis;USA;3360 Maury Ave;;;USD;009;00030;2011-06-24 14:16:50;?;;USA;USA;219,69
00032;Yes;;00102;;;No;Hens Voeders (Voeders Depre);Hens Voeders alleen S voor Voed. Depre;2100;Deurne;BEL;Belcrownlaan 15-17;03 3608600;;EUR;003;00102;2011-06-24 14:16:50;?;BE0403722017;BEL;BEL;54,69
00033;Yes;;;00034,00035;00034,00035;Yes;Hedegaard Agro;Hedegaard  Norresundby  B + S;9400;Norresundby;DNK;Nordre Havnegade 3;;;EUR;003;;2011-06-24 14:16:50;?;DK34728712;DNK;DNK;57,69
00034;Yes;;00033;;;No;Hedegaard Agro;Hedegaard Godstrup  S;7400;Godstrup, Herning;DNK;Vildbjergvej 55;;;EUR;003;00033;2011-06-24 14:16:50;?;;DNK;DNK;57,69
00035;Yes;;00033;;;No;Hedegaard Agro - Duodec;Hedegaard Duodec S  DO NO USE;9400;Norresundby;DNK;Nordre Havnegade 3;;;EUR;003;00033;2011-06-24 14:16:50;?;;DNK;DNK;57,69
00036;Yes;;;;;Yes;Frank Wright Ltd t/a Trouw Nutrition GB;Frank Wright (trouw nutrition) B+S;DE6 1HA;Ashbourne, Derbyshire;UK;Blenheim House, Blenheim Road;00 44 1335 341149;;EUR;003;;2011-06-24 14:16:50;?;GB127695539;UK;UK;59,69
00036_DE6 14HA;Yes;;;;;No;Frank Wright Ltd t/a Trouw Nutrition GB;Frank Wright (trouw nutrition) B+S;DE6 14HA;Ashbourne, Derbyshire;UK;Blenheim House, Blenheim Road;00 44 1335 341149;;EUR;003;;2011-06-24 14:16:50;?;GB127695539;UK;UK;59,69
00037;Yes;;;;;Yes;DSM Nutritional Products;DSM Nutritional BE B+S;9800;Deinze;BEL;Dorpsstraat 4;;;EUR;003;;2011-06-24 14:16:50;?;BE0437589962;BEL;BEL;54,69
00038;Yes;;;;;Yes;Centralys;Centralys B+S;78190;Trappes;FRA;9-11 Avenue Arago - BP 108;;;EUR;003;;2011-06-24 14:16:50;?;FR39537050015;FRA;FRA;50,69
00039;Yes;;;;;Yes;Celtic Nutrition Animale;Celtic Nutrition B+S;35320;Crevin;FRA;Parc d'Activites de Ferchaud - BP 10;;;EUR;003;;2011-06-24 14:16:50;?;FR36351260773;FRA;FRA;50,69
00040;Yes;;;;;Yes;De Brabandere Voeders NV;De Brabander B+S Roeselare;8800;Roeselare;BEL;Kaaistraat 70;F 051 242 791;;EUR;003;;2011-06-24 14:16:50;?;BE0405547496;BEL;BEL;54,69
00041;Yes;;;;;Yes;Biovet JSC;Biovet JSC;4550;Peshtera;BGR;39 Peter Rakov Str.;+359 35065619;;EUR;009;;2011-06-24 14:16:50;?;BG112029879;BGR;BGR;188,69
00042;Yes;;;00043;00043;Yes;BASF IT spa;BASF IT B;20031;Cesano Maderno (MI);ITA;Via Marconato 8;;;EUR;003;;2011-06-24 14:16:50;?;IT00688460963;ITA;ITA;52,69
00043;Yes;;00042;;;No;BASF IT spa;BASF IT S ComunNuovo;24040;Comun Nuovo (BG);ITA;Via Leonardo da Vinci 2;;;EUR;003;00042;2011-06-24 14:16:50;?;;ITA;ITA;52,69
00044;Yes;1;;;;Yes;BNA;BNA    DO NOT USE;53200;Chateau-Gontier;FRA;ZI de Bellitourne - AZE;;;EUR;003;;2011-06-24 14:16:50;?;FR17449689124;FRA;FRA;50,69
00045;Yes;;;;;Yes;Animedica International GmbH;Animedica DE (NL)B bij pick-up in NL TIE;60486;Frankfurt am Main;DEU;Solmsttrasse 41;F0049 69 727 276 77;;EUR;003;;2011-06-24 14:16:50;?;NL 806274311B01;DEU;DEU;53,69
00045_60036;Yes;;;;;No;Animedica International GmbH;Animedica DE (NL)B bij pick-up in NL TIE;60036;Frankfurt am Main;DEU;Reuterweg 51-53 (Postfach 11 01 42);F0049 69 727 276 77;;EUR;003;;2011-06-24 14:16:50;?;NL 806274311B01;DEU;DEU;53,69
00046;Yes;;00425;;;No;Pre-Mervo;Pre-Mervo  S (Animedica);3542 AJ;Utrecht;NLD;Protonweg 10;;;EUR;003;00425;2011-06-24 14:16:50;?;;NLD;NLD;55,69
00047;Yes;;;00048;00048;Yes;Animedica International GmbH;Animedica DE (FR) B;60486;Frankfurt am Main;DEU;Solmsstrasse 41;;;EUR;003;;2011-06-24 14:16:50;?;FR 37418587374;DEU;DEU;53,69
00047_60036;Yes;;;00048;00048;No;Animedica International GmbH;Animedica DE (FR) B;60036;Frankfurt am Main;DEU;Reuterweg 51-53 (Postfach 11 01 42);;;EUR;003;;2011-06-24 14:16:50;?;FR 37418587374;DEU;DEU;53,69
00048;Yes;;00047;;;No;CCPA (via aniMedica);CCPA S Animedica   S;35150;Janze;FRA;Parc d'activite du Bois de Teillay;;;EUR;003;00047;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00050;Yes;;;00051,00170,00188,00211,00459,01209,01914;00051,00170,00188,00211,00459,01209,01914;Yes;Agravis Raiffeisen AG;Agravis B;48155;Munster;DEU;Industrieweg 110;00 49 251 682 2928;;EUR;003;;2011-06-24 14:16:50;?;DE 115657267;DEU;DEU;53,69
00051;Yes;;00050;;;No;VitaVis GmbH (Agravis) Minden;VitaVis (Agravis)  S  Minden;32423;Minden;DEU;Zum Industriehafen 20;;;EUR;003;00050;2011-06-24 14:16:50;?;;DEU;DEU;53,69
00058;Yes;;;00322,00612;00322,00612;Yes;Arravis;ARRAVIS     B;H-4029;Debrecen;HUN;Loerinc pap u.7;+36 52321891;;EUR;003;;2011-06-24 14:16:50;?;HU13531704;HUN;HUN;222,69
00059;Yes;;;;;Yes;Norsk Mineralnaering AS;AS NORSK;N-3516;Hoenefoss;NOR;Hensmoen industriomraade;;;EUR;003;;2011-06-24 14:16:50;?;;NOR;NOR;62,69
00061;Yes;;;;;Yes;Biofactory Praha spol S.r.o.;BIOFAKTORY;19300;Praha 9;CZE;Na Chvalce 2049;;;EUR;003;;2011-06-24 14:16:50;?;;CZE;CZE;220,69
00064;Yes;;;01029;01029;Yes;Devenish Nutrition;DEVENISH     B;BT1 3BG;Belfast;UK;Lagan House-Clarendon Rd 19;;;EUR;003;;2011-06-24 14:16:50;?;GB714779213;UK;UK;59,69
00064_BT3 9AR;Yes;;;01029;01029;No;Devenish Nutrition;DEVENISH     B;BT3 9AR;Belfast;UK;Duncrue Street 96;;;EUR;003;;2011-06-24 14:16:50;?;GB714779213;UK;UK;59,69
00065;Yes;1;04543;;;No;Doux Aliments  DO NOT USE;Doux Aliments DO NOT USE;29380;Bannalec;FRA;ZI de Keryannic;+33 (02) 98395211;;EUR;003;04543;2011-06-24 14:16:50;?;FR 02393254131;FRA;FRA;50,69
00066;Yes;;;00191;00191;Yes;DSM Nutritional Products (UK) LTd;DSM Nutritional UK B+S;DE75 7SG;HEANOR, Derbyshire;UK;Delves Road, Heanor Gate Ind. estate;;;EUR;003;;2011-06-24 14:16:50;?;GB827369889;UK;UK;59,69
00067;Yes;;;;;Yes;DSM Nutritional Products Hellas LTd;DSM Nutritional  GREECE;151 25;Maroussi- athens;GRC;Pigassou str 14;;;EUR;003;;2011-06-24 14:16:50;?;EL099966108;GRC;GRC;178,69
00068;Yes;;;;;Yes;DSM Nutritional Products Hungary Kft.;DSM HUNGARY;2367;Ujhartyan;HUN;Japan fasor 4;;;EUR;003;;2011-06-24 14:16:50;?;HU12655315;HUN;HUN;222,69
00069;Yes;;;;;Yes;DSM Nutritional Products Iberia;DSM SPAIN B+S;28806;Alcala de Henares - Madrid;ESP;C/Honduras, par 26 Pol. Ind. El Desc;;;EUR;003;;2011-06-24 14:16:50;?;ESA28136455;ESP;ESP;56,69
00070;Yes;;;;;Yes;DSM Nutritional Products Poland;DSM Poland  B + S;96-320;Mszczonow;POL;UI. Tarzynska 113;;;EUR;003;;2011-06-24 14:16:50;?;PL 8381575031;POL;POL;70,69
00071;Yes;;;;;Yes;Evialis Nutrition Animale;EVIALIS B;F-56001;Vannes;FRA;B.P. 10;;;EUR;003;;2011-06-24 14:16:50;?;FR29636320038;FRA;FRA;50,69
00072;Yes;;;;;Yes;Grifovet S.R.L.;GRIFOVET;06087;Ponte San Giovanni;ITA;Via A. Volta 86;+39 02 48915581;;EUR;003;;2011-06-24 14:16:50;?;IT01805940549;ITA;ITA;52,69
00073;Yes;1;;;;Yes;Itraco Ltd;INTRACO      DO NOT USE;2000;Antwerpen;BEL;Meir 244;;;EUR;003;;2011-06-24 14:16:50;?;BE0435157935;BEL;BEL;54,69
00074;Yes;;;;;Yes;Inve Belgie NV;INVE;9200;Baasrode;BEL;Oeverstraat 7;;;EUR;003;;2011-06-24 14:16:50;?;BE0433580397;BEL;BEL;54,69
00076;Yes;;;;;Yes;Joosen-Luyckx NV;Joosen luyckx   B + S;2300;Turnhout;BEL;Oude Kaai 26;;;EUR;003;;2011-06-24 14:16:50;?;BE0404162277;BEL;BEL;54,69
00078;Yes;;;;;Yes;Mangimi Ercoli di Ercoli A.;Mangimi Ercoli di Ercoli;62012;Citanova Marche MC;ITA;S.S. Maceratese 14;;;EUR;003;;2011-06-24 14:16:50;?;IT00983850439;ITA;ITA;52,69
00079;Yes;;;;;Yes;Mega Tierernaehrung GmbH & Co KG;Mega Haldensleben B + S;39340;Haldensleben;DEU;Hafenstrasse 44a;;;EUR;003;;2011-06-24 14:16:50;?;DE 117772947;DEU;DEU;53,69
00080;Yes;;;;;Yes;MG2MIX;MG2MIX;F-35220;Chateaubourg;FRA;Zone de la Basse Haye;F0033 299 007 350;;EUR;003;;2011-06-24 14:16:50;?;FR93351487772;FRA;FRA;50,69
00081;Yes;;;;;Yes;Miavit GmbH;MIAVIT B + S;49632;Essen;DEU;Robert-Bosch-Strasse 3;;;EUR;003;;2011-06-24 14:16:50;?;DE237412764;DEU;DEU;53,69
00082;Yes;;;00285,00445,00469;00285,00445,00469;Yes;Mignini & Petrini Spa;Mignini Petrini, Petrignano  B + S;06086;Petrignano di Assissi;ITA;Via dei Pini;;;EUR;003;;2011-06-24 14:16:50;?;IT01659710543;ITA;ITA;52,69
00083;Yes;;;;;Yes;Perstorp Waspik BV;Perstorp Waspik BV    b + S;NL-5165 ZG;Waspik;NLD;PO BOX 10;;;EUR;003;;2011-06-24 14:16:50;?;NL004441072B01;NLD;NLD;55,69
00084;Yes;;;;;Yes;Premier Nutrition;Premier Nutrition  B + S;WS15 1RD;Rugeley, Staffordsh.;UK;Brereton Buss.Park, The Levels;;;EUR;003;;2011-06-24 14:16:50;?;GB289729879;UK;UK;59,69
00084_WS15 1RD;Yes;;;;;No;Premier Nutrition;Premier Nutrition  B + S;WS15 1RD;Staffordshire;UK;Brereton Buss.Park, The LevelsRugeley, Staffordsh.;;;EUR;003;;2011-06-24 14:16:50;?;GB289729879;UK;UK;59,69
00085;Yes;;;;;Yes;Pricor BV;PRICOR;3421 TV;Oudewater;NLD;Wilgenweg 16;;;EUR;003;;2011-06-24 14:16:50;?;NL 802594967B01;NLD;NLD;55,69
00086;Yes;1;;;;Yes;Provimi BV;PROVIMI NL  DO NOT USE;3008 AB;Rotterdam;NLD;Veerlaan 17-23 Postbus 5063;F 0031 10 485 92 35;;EUR;003;;2011-06-24 14:16:50;?;NL 007145378B01;NLD;NLD;55,69
00087;Yes;;;;;Yes;Raiffeisen Kraftfutterwerke Kehl GmbH & Co;RAIFFEISEN;77694;Kehl;DEU;Weststr 29;;;EUR;003;;2011-06-24 14:16:50;?;DE 134620968;DEU;DEU;53,69
00091;Yes;;;;;Yes;Sonap SA;SONAP;F-64410;Arzacq-Arraziguet;FRA;Abiopole;00 33 5 59045991;;EUR;003;;2011-06-24 14:16:50;?;FR63305034753;FRA;FRA;50,69
00092;Yes;;;;;Yes;Spezialfutter Neuruppin GmbH & Co KG;Spez.futter Neuruppin  B+S;16816;Neuruppin;DEU;Friedrich-Bucking-Strasse 9;;;EUR;003;;2011-06-24 14:16:50;?;DE179011202;DEU;DEU;53,69
00093;Yes;;;;;Yes;Tieleman Transport BV;TIELEMAN T;4587 ZG;KLOOSTERZANDE;NLD;Oudeweg 16 PB 26;;;EUR;003;;2011-06-24 14:16:50;?;NL 814682492B01;NLD;NLD;55,69
00097;Yes;1;;00413;00413;Yes;Trouw Nutrition International DC  B;TROUW INTD (DO NOT USE);5830 AA;Boxmeer;NLD;To: Nutreco FSSC-AP, Postbus 36;;;EUR;003;;2011-06-24 14:16:50;?;NL812439466B01;NLD;NLD;55,69
00098;Yes;;;04194;04194;Yes;Trouw(UK) Ltd t/a Trouw Nutrition;TROUW Belfast  B + S;BT15 1JL;Belfast;UK;36 Ship Street;;;EUR;003;;2011-06-24 14:16:50;?;GB616170266;UK;UK;59,69
00099;Yes;1;;;;Yes;Trouw Nutrition Ltd;TROUW UK (Do not use, old);CW9 6DF;Cheshire;UK;WinchamNorthwich;;;EUR;003;;2011-06-24 14:16:50;?;GB616170266;UK;UK;59,69
00100;Yes;1;;;;Yes;Vanden Avenne-Ooigem NV;VANDENAVENNE - DO NOT USE THIS ONE;B-8710;Ooigem;BEL;Oostrozebekestraat 160;;;EUR;003;;2011-06-24 14:16:50;?;BE0430523909;BEL;BEL;54,69
00101;Yes;1;;;;Yes;VDS BVBA DO NOT USE;VDS  DO NOT USE;B-8540;Deerlijk;BEL;Paanderstraat 40;;;EUR;003;;2011-06-24 14:16:50;?;BE0407079306;BEL;BEL;54,69
00102;Yes;;;00032;00032;Yes;Voeders Depre NV;Voeders Depre;8730;Beernem;BEL;Vaart Noord 11;;;EUR;003;;2011-06-24 14:16:50;?;BE0405180282;BEL;BEL;54,69
00104;Yes;;;;;Yes;Vial SARL;VIAL;F-92100;Boulongne Billancourt;FRA;122 rue d'Aguesseau;;;EUR;003;;2011-06-24 14:16:50;?;FR 54394810675;FRA;FRA;50,69
00105;Yes;;;00202,00894,01079;00202,00894,01079;Yes;Deutsche Vilomix GmbH;Deutsche Vilomix    B+S;49434;Neuenkirchen;DEU;Bahnhofstrasse 30;;;EUR;003;;2011-06-24 14:16:50;?;DE 152363075;DEU;DEU;53,69
00106;Yes;;;;;Yes;Vital AG;VITAL   B + S;CH-5036;Oberentfelden;CHE;Industriestrasse 30;;;EUR;003;;2011-06-24 14:16:50;?;;CHE;CHE;60,69
00107;Yes;;;00220;00220;Yes;Nuscience Belgium;Nuscience Belgium Drongen B + S;B-9031;Drongen;BEL;Booiebos 5;;;EUR;003;;2011-06-24 14:16:50;?;BE0412718370;BEL;BEL;54,69
00108;Yes;;;;;Yes;YLIAD Pariseo; Yliad Paris     OUD;F-75782;Paris;FRA;83 Avenue de la Grande Armee Cedex 16;;;EUR;003;;2011-06-24 14:16:50;?;FR21398113126;FRA;FRA;50,69
00110;Yes;1;;;;Yes;Zimmerer-Werk, Chemische Fabriek;ZIMMERER   B + S (do not use);84034;Landshut;DEU;Ludmillastrasse 21 a;;;EUR;003;;2011-06-24 14:16:50;?;DE218176271;DEU;DEU;53,69
00111;Yes;;;00329,00523,01593;00329,00523,01593;Yes;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;02-305;Warszawa;POL;ul. Aleje Jerozolimskie 146D;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_01-048;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;01-048;Warszawa;POL;ul. Smocza 27;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_11034;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;11034;Stawiguda;POL;ul. Sadowa 4;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_11-034;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;11-034;Gietrzwald;POL;ul. Olsztynska 40;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_11-036;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;11-036;Gietrzwałd;POL;ul. Olsztynska 40;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_62280;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;62280;Kiszkowo;POL;ul. Rolna 2/4;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_62-600;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;62-600;Kolo;POL;ul. Skladowa 21;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00111_64-300;Yes;;;00329,00523,01593;00329,00523,01593;No;Huvepharma Polska Sp.z o.o.;Huvepharma Polska    B;64-300;Nowy Tomyśl;POL;Paproc 95;;;EUR;009;;2011-06-24 14:16:50;?;PL7811715400;POL;POL;70,69
00112;Yes;;;00263,00386,00944,00997;00263,00386,00944,00997;Yes;Animedica International Germany;ANIMEDICA DE (DE) B;60486;Frankfurt am Main;DEU;Solmsstrasse 41;;;EUR;003;;2011-06-24 14:16:50;?;DE114118632;DEU;DEU;53,69
00112_60036;Yes;;;00263,00386,00944,00997;00263,00386,00944,00997;No;Animedica International Germany;ANIMEDICA DE (DE) B;60036;Frankfurt am Main;DEU;Reuterweg 51-53 (Postfach 11 01 42);;;EUR;003;;2011-06-24 14:16:50;?;DE114118632;DEU;DEU;53,69
00114;Yes;1;00194;;;No;Prisma / Usine SERMIX;Prisma / usine Sermix S   DO NOT USE;56000;Vannes;FRA;Rue Alexis Leguillon;;;EUR;003;00194;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00117;Yes;;;;;Yes;Evaglow International Co Ltd;EVAGLOW;104;Taipei;TWN;10F/1NO 26 SEC 3 Chungsah;;;EUR;003;;2011-06-24 14:16:50;?;;TWN;TWN;216,69
00120;Yes;1;;;;Yes;E.J. Bos mengvoeders BV DO NOT USE;E.J. Bos mengvoeders BV DO NOT USE;6744 ZG;Ederveen;NLD;Hoofdweg 244, postbus 15;;;EUR;003;;2011-06-24 14:16:50;?;NL007048944B01;NLD;NLD;55,69
00121;Yes;1;;;;Yes;Vitalac;Vitalac DO NOT USE;F-22800;Quintin;FRA;Gare de Quintin;;;EUR;003;;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00123;Yes;;00124;;;No;Union Invivo Est.INZO;Un.InVivo -Ets INZO  B  DON'T USE;02407;Chierry Cedex;FRA;Usine de Chierry -  BP 50019Rue d'Eglise;;;EUR;003;00124;2011-06-24 14:16:50;?;FR02353674542;FRA;FRA;50,69
00124;Yes;;;00123;00123;Yes;Union InVivo - Ets INZO;Un.InVivo -Ets INZO  B  DON'T USE;02407;Chierry Cedex;FRA;Rue de l'Eglise - BP 50019;;;EUR;003;;2011-06-24 14:16:50;?;FR39775690191;FRA;FRA;50,69
00125;Yes;;;;;Yes;Belcofeed NV;Belcofeed(Billing of Intrac. of Grob.  S;2280;Grobbendonk;BEL;Industrieweg 22;;;EUR;003;;2011-06-24 14:16:50;?;BE0435268791;BEL;BEL;54,69
